Shop_name,Products,Chart_Performance,Rating,Followers,Rating_bad,Rating_good,Rating_normal
Misuoya dress,44,97,4.902364,43146,162,43503,914
Aoweinisi Trendy Underwear,291,67,4.909337,73295,733,166440,2957
cybershopperz,118,88,4.89958,44276,23,7343,137
JEANS Factory!,35,95,4.857202,7917,166,17315,497
chic maomao,206,87,4.880373,15361,54,11166,300
Aladdin Life World,89,97,4.930785,12626,140,60234,867
Coolinner Supplies,78,97,4.924955,3255,13,5607,91
danynaSToRe,42,99,4.954887,31591,6,3095,21
sweetrecall,1393,94,4.834041,2517,43,2539,66
See Sarra Design,6,99,4.985667,41490,6,5742,12
whatstrending,178,81,4.846675,13881,178,14706,443
Xiaozhainv Official Store,2420,100,4.734251,104016,1797,101973,5383
fatinkShop8906,16,84,4.986459,12669,0,3492,4
zxyouping.my,492,93,4.90322,54829,496,131510,2486
NEXTGEN Malaysia,117,97,4.964874,8237,13,18086,127
Styleplus Studio,979,48,4.784553,26105,562,33036,1494
Mizora,21,100,4.851449,5735,173,17993,567
VintageAtticbySH,3,97,4.975897,14558,1,1939,8
ameerafiq_,6,98,4.99635,3379,0,629,0
BRAVO ,178,100,4.877644,16045,36,4556,99
Angel Jewelry,237,29,4.879688,7095,42,5011,114
YOMAX.pajams,367,90,4.911987,22667,99,31363,550
coscopremium,173,98,4.918391,15207,36,13800,232
MR DIY,10518,49,4.866214,752927,6711,550967,12205
eSmart,348,89,4.844965,7121,278,21912,583
Baby & Mother Club ,221,99,4.904846,2385,77,16935,279
chuiqazuan,24,96,4.993407,21953,0,3921,3
VCM MALAYSIA BORONG,809,98,4.913521,6320,67,18005,293
intanmdzin_98,9,69,4.959542,11344,3,2868,25
cous.my,796,92,4.698345,20019,1246,58550,4149
8t*Tube Binder Malaysia,33,96,4.935005,3936,13,5539,63
Kids T-shirt Fashion  Store,1240,98,4.899032,19162,219,64556,1357
Women's shirts blouse,1188,97,4.753341,20791,290,17546,990
TNK Shop,135,98,4.925119,14367,76,23955,391
Y@T $HOP,10,88,4.988402,2381,1,866,1
Cherry&Sweet Bra,596,97,4.836816,14212,155,19506,729
KK_Online Store,73,98,4.915522,5257,36,8933,160
HAYSHOP_Store,17,86,4.957958,1944,1,365,2
choodan.my,673,90,4.847285,13376,152,22523,768
Bigwish Online Trade,59,97,4.903288,2552,50,12236,235
4everstore.my,1232,96,4.883104,30023,321,48949,1104
firdausfidut,37,94,4.88163,8793,112,14284,371
amsara_shop,24,98,4.908997,3009,18,3982,74
maternity,594,69,4.843562,9481,54,8601,304
AZ's collection,2,91,4.930464,6084,3,672,10
AHkedaikosmetikmurah,10,78,4.965517,663,4,3651,22
rasyastore,3,97,4.967768,13323,1,2834,19
Alimama Store (Mother And Baby),537,97,4.835448,65272,1451,121835,4032
sarrazmeer.os,11,96,4.964044,12901,0,2179,14
Wanda Thrift Store,8,96,4.939543,12216,4,1878,20
Eiza kenit,37,97,4.981281,10903,1,2748,13
DEBU Store,222,94,4.744453,4710,123,5198,298
CZX888,120,84,4.921044,12856,113,43127,628
