name,product,chat_response,follower,rating_bad,rating_good,rating_normal
Nisley Collection,67,100,37667,423,53950,1502
ERAtrading,37,93,2874,37,3904,144
PALACEDUNK OFFICAL STORE,870,92,12052,383,25843,1151
Dragonfly_MY,142,99,4111,59,5290,200
Elegant.co,8,93,9605,0,2995,5
calista.my,177,85,2553,27,5549,110
baichun.my,171,76,2183,29,5024,99
MENGZY.my,370,87,7684,130,29261,635
SE-serendipity.my,2729,92,9373,586,34605,1235
peggyldr,1,66,5186,3,821,2
Babyyyin_Tshop,16,82,4333,0,1347,4
cous.my,794,92,20019,1246,58550,4149
yingbaobao.my,351,74,2464,276,13194,621
azie_nimiey,206,95,2297,0,494,2
RNG时尚女装店,1952,97,40743,523,35462,2114
MUMDREAM STORE,100,99,4194,21,7988,97
Sis & Angel,34,100,2815,8,4842,54
jumpsuit makbawang,126,87,15627,21,4276,50
Yesmall.my,139,99,4960,6,5012,37
SKYDOOR,36,74,12694,686,28118,1922
ahmed1,75,37,2702,284,7044,441
SUGEMIUSI  Maternity Dress ,578,75,1903,48,3324,125
MANISAN ,10,97,5265,3,1787,7
murah.com.st.my,81,95,1986,15,1379,50
LESALE.my,703,63,7036,451,21178,1158
C'CHIC.my,553,94,14349,52,6700,246
safuansafra,6,97,6542,2,2106,10
Liong.Socks,78,64,3601,77,16655,292
Qipin Fashion Store,3947,76,21943,245,42816,913
bbin440,53,97,1204,10,3769,21
azureyun.my,645,55,1595,16,1766,70
premiumbyzai,10,93,15709,2,3668,14
YR_iBoutique,8,97,28336,0,3890,6
Kawaii Cindy (VLive Mall Trading),55,96,18513,5,8721,38
Qrusnita HQ,6,94,1203,1,3399,23
KHATULISTIWA COLLECTION,447,100,4208,20,7488,106
Women's Clothing and Shoes,955,80,10088,53,5490,213
qzchongyang.my,233,91,4789,33,8414,247
d.ktshop,213,94,4698,25,7594,110
BEHAUL Malaysia,282,99,36308,36,27911,358
7usna.co,7,99,371,4,1697,38
Eastleaves Fashion,215,100,5749,70,8596,342
swlady.my,450,89,7415,115,8706,417
