Shop_name,Products,Chart_Performance,Rating,Followers,Rating_bad,Rating_good,Rating_normal
mspineapples.com,11,97,4.946621,70928,39,27274,234
future_roses,278,97,4.933458,41325,189,80684,1131
SIS online store,129,97,4.927551,109183,287,119161,1712
Virene Collection,852,100,4.896156,63940,928,194196,3916
U Collection,43,98,4.95262,19623,16,21399,175
M Wardrobe,7,93,4.956151,1327,5,5869,50
Pasaran Ekonomi Berjaya,976,99,4.940816,49685,152,91689,1021
Perfect-Girl pants,2171,94,4.915376,77111,619,106059,1701
nursingbra520,254,96,4.907049,49261,510,117819,2303
daduhey women's chothing,1797,100,4.877681,89894,474,75810,1997
Mega Deal,299,99,4.934487,124108,426,281500,3751
SOKS MART,241,100,4.896067,59339,764,156053,3279
Pop Closet,1831,95,4.930112,31883,106,39805,477
myBAJU2U,83,99,4.941402,2418,19,9562,114
CRT Shop,290,99,4.88777,152816,1529,268067,6261
babyfashionmall,162,6,4.868684,206788,3039,361996,9676
summer.10,73,93,4.934622,17487,47,24586,342
陆诗人内衣,512,92,4.895211,14618,121,27722,606
B&G Queen's underwear store,107,96,4.912968,7837,32,9359,193
TX FASHION HOUSE,87,100,4.927039,13038,55,24157,345
janelow12866,150,94,4.948157,18417,25,19621,190
ZANZEA Official Shop,6826,97,4.904938,661124,2074,601742,12574
Babyme - Kids pants  dress,3783,85,4.876269,116653,3016,321362,6893
Ready Stock 713,184,99,4.882745,19812,349,50992,1258
Finetoo Official Store,375,70,4.852636,51333,927,73444,2069
v2optical,1002,98,4.915068,83560,3423,704482,11435
Laŭmoda,365,85,4.898256,2102,39,9398,222
BlossomShoppe,69,98,4.897857,4182,30,6813,143
yw.co,31,96,4.932176,468,40,7081,58
Lemon & Sugar,13,86,4.941969,3310,2,3929,50
babyonlinekl,140,7,4.878364,78098,1195,144916,3322
FST Perfect 10,121,100,4.894258,14639,98,19391,387
mysteryoffemale,900,98,4.887181,68660,529,100107,2416
1l5m7avv8g,14,97,4.888057,1902,4,2547,81
momo home underwear,206,100,4.918876,7480,49,16980,300
sherenelim44,23,57,4.898225,5311,29,11486,255
AWS1688 bra panties shop,408,96,4.876458,252493,3401,543967,13719
StudioLands,40,98,4.883054,20515,143,27490,659
baiji.my,59,97,4.867816,2352,73,12131,380
beauforme,85,98,4.943899,1181,16,6207,60
FullCoverMart,540,88,4.874275,73863,1616,187799,4590
DZ Bra Panties Shop,149,96,4.876713,10769,263,42614,1147
Real Bubee,142,6,4.87228,75301,1297,162505,4062
paradise_kiss.my,250,97,4.891995,11847,44,8578,212
pridebra.my,224,97,4.877481,11705,318,62153,1749
All of me Bra Underwear,417,84,4.879729,21667,262,39625,1073
YAMMY亚米 (whale1688),75,99,4.754668,43713,737,41228,2216
baju tidur Perempuan,181,97,4.900481,6361,23,8216,200
MUM STORE,38,93,4.937874,1756,13,5311,62
Syasya Wardrobe Exclusive HQ,16,79,4.949425,2542,0,2337,23
